Wavelength;Psi;Delta
300.000000;20.186731;40.622284
350.000000;17.568865;26.702587
400.000000;21.828859;48.083054
450.000000;11.188115;75.093948
500.000000;5.854802;-42.521553
550.000000;22.034260;-29.365536
600.000000;34.049953;8.999682
650.000000;30.940998;46.480854
700.000000;24.656069;67.754433
750.000000;19.269306;85.862190
800.000000;14.264936;106.453552
850.000000;9.952021;134.647171
900.000000;7.615406;176.959305
950.000000;8.465770;221.228210
1000.000000;11.206606;249.546356
